Body,,,,,,,,,
Date,Weight,BMI,Fat,,,,,,
01-05-2021,43,20.45,0,,,,,,
02-05-2021,43,20.45,0,,,,,,
03-05-2021,43,20.45,0,,,,,,
04-05-2021,44,20.9,0,,,,,,
05-05-2021,44,20.9,0,,,,,,
06-05-2021,44,20.9,0,,,,,,
07-05-2021,44,20.9,0,,,,,,
08-05-2021,45,21.4,0,,,,,,
09-05-2021,45,21.4,0,,,,,,
10-05-2021,46,21.9,0,,,,,,
11-05-2021,46,21.9,0,,,,,,
12-05-2021,46,21.9,0,,,,,,
13-05-2021,45,21.4,0,,,,,,
14-05-2021,45,21.4,0,,,,,,
15-05-2021,45,21.4,0,,,,,,
16-05-2021,45,21.4,0,,,,,,
17-05-2021,45,21.4,0,,,,,,
18-05-2021,45,21.4,0,,,,,,
19-05-2021,44,20.9,0,,,,,,
20-05-2021,45,21.4,0,,,,,,
21-05-2021,45,21.4,0,,,,,,
22-05-2021,45,21.4,0,,,,,,
23-05-2021,44,20.9,0,,,,,,
24-05-2021,44,20.9,0,,,,,,
25-05-2021,44,20.9,0,,,,,,
26-05-2021,44,20.9,0,,,,,,
27-05-2021,45,21.4,0,,,,,,
28-05-2021,45,21.4,0,,,,,,
29-05-2021,44,20.9,0,,,,,,
30-05-2021,44,20.9,0,,,,,,
31-05-2021,44,20.9,0,,,,,,
,,,,,,,,,
Foods,,,,,,,,,
Date,Calories In,,,,,,,,
01-05-2021,1995,,,,,,,,
02-05-2021,2510,,,,,,,,
03-05-2021,2146,,,,,,,,
04-05-2021,2888,,,,,,,,
05-05-2021,3052,,,,,,,,
06-05-2021,3098,,,,,,,,
07-05-2021,2608,,,,,,,,
08-05-2021,3005,,,,,,,,
09-05-2021,2145,,,,,,,,
10-05-2021,2909,,,,,,,,
11-05-2021,2500,,,,,,,,
12-05-2021,3039,,,,,,,,
13-05-2021,2194,,,,,,,,
14-05-2021,2633,,,,,,,,
15-05-2021,3029,,,,,,,,
16-05-2021,2607,,,,,,,,
17-05-2021,2259,,,,,,,,
18-05-2021,2759,,,,,,,,
19-05-2021,2378,,,,,,,,
20-05-2021,2990,,,,,,,,
21-05-2021,2309,,,,,,,,
22-05-2021,2146,,,,,,,,
23-05-2021,1901,,,,,,,,
24-05-2021,2864,,,,,,,,
25-05-2021,2736,,,,,,,,
26-05-2021,2439,,,,,,,,
27-05-2021,2662,,,,,,,,
28-05-2021,3035,,,,,,,,
29-05-2021,2541,,,,,,,,
30-05-2021,2793,,,,,,,,
31-05-2021,2913,,,,,,,,
,,,,,,,,,
Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
01-05-2021,"1,004",2454,2,0,829,271,82,37,349
02-05-2021,"1,000",3944,3,0,681,161,74,13,292
03-05-2021,978,2703,4,0,849,243,79,40,275
04-05-2021,"1,109",2914,4,0,575,149,78,24,240
05-05-2021,"1,531",2989,2,0,603,253,86,10,323
06-05-2021,"1,382",2549,4,0,597,316,88,8,133
07-05-2021,"1,258",3576,1,0,532,134,73,27,187
08-05-2021,"1,122",2075,2,0,897,337,92,11,113
09-05-2021,"1,075",2234,3,0,525,395,88,25,340
10-05-2021,"1,576",3095,1,0,875,315,92,37,114
11-05-2021,"1,583",2200,3,0,636,174,76,32,293
12-05-2021,"1,208",3936,2,0,657,140,89,2,286
13-05-2021,"1,114",2411,2,0,628,108,91,15,286
14-05-2021,"1,315",2593,4,0,534,137,74,36,234
15-05-2021,"1,080",2543,2,0,598,249,96,31,259
16-05-2021,"1,023",3362,2,0,803,158,98,13,203
17-05-2021,900,3305,3,0,659,168,72,17,191
18-05-2021,989,2977,2,0,597,235,97,33,254
19-05-2021,"1,261",3240,2,0,543,320,75,40,164
20-05-2021,922,2910,4,0,598,306,71,35,259
21-05-2021,"1,586",3876,3,0,784,105,100,35,242
22-05-2021,"1,531",2926,4,0,828,155,92,13,155
23-05-2021,"1,120",3456,1,0,805,202,79,2,167
24-05-2021,"1,019",3700,1,0,520,228,86,33,234
25-05-2021,"1,384",2356,3,0,815,163,72,4,161
26-05-2021,"1,211",3534,2,0,893,116,97,27,111
27-05-2021,"1,271",3071,3,0,564,148,84,5,107
28-05-2021,"1,004",3520,4,0,686,208,70,38,114
29-05-2021,"1,076",2366,3,0,670,240,81,25,157
30-05-2021,957,2933,2,0,796,370,84,27,174
31-05-2021,989,3625,3,0,801,236,87,12,247
,,,,,,,,,
Sleep,,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,
,,,,,,,,,
Food Log 20210501,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210502,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210503,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210504,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210505,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210506,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210507,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210508,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210509,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210510,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210511,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210512,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210513,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210514,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210515,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210516,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
,Protein,0 g,,,,,,,
,Water,0 ml,,,,,,,
,,,,,,,,,
Food Log 20210517,,,,,,,,,
Daily Totals,,,,,,,,,
,Calories,0,,,,,,,
,Fat,0 g,,,,,,,
,Fiber,0 g,,,,,,,
,Carbs,0 g,,,,,,,
,Sodium,0 mg,,,,,,,
